corpus,doc_id,title,fiscal_year,category,file_ext,path,exists,size,source_status,page_count,page_status,error,original_error,rhwp_bin,rhwp_version,rhwp_patch,elapsed_ms
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1400:1434:409,과학기술정보통신부_원자력기초연구지원사업(R&D).hwp,2023,과학기술정보통신부>과학기술>과학기술연구개발>원자력 진흥>원자력연구개발사업>원자력기초연구지원사업(R&D),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162546011551434409.hwp,True,231936,ok,10,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,15
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1200:1233:301,과학기술정보통신부_국제회의개최및국제기구활동지원.hwp,2023,과학기술정보통신부>문화및관광>문화예술>정보통신방송국제협력>정보통신국제협력>국제회의개최및국제기구활동지원,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611233301.hwp,True,212992,ok,20,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,31
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1400:1431:307,과학기술정보통신부_저소득층 디지털방송 시청지원.hwp,2023,과학기술정보통신부>문화및관광>문화예술>디지털방송전환기반구축>디지털방송전환>저소득층 디지털방송 시청지원,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611431307.hwp,True,1118720,ok,16,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,41
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1400:1434:303,과학기술정보통신부_고준위폐기물 관리 차세대 혁신 기술개발사업(R&D).hwp,2023,과학기술정보통신부>과학기술>과학기술연구개발>원자력 진흥>원자력연구개발사업>고준위폐기물 관리 차세대 혁신 기술개발사업(R&D),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162546011551434303.hwp,True,416768,ok,17,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,36
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1100:1141:305,과학기술정보통신부_VR·AR콘텐츠산업육성.hwp,2023,과학기술정보통신부>문화및관광>문화예술>콘텐츠방송산업육성>콘텐츠 진흥>VR·AR콘텐츠산업육성,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611141305.hwp,True,188416,ok,16,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,53
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:2400:2433:313,과학기술정보통신부_지역통신망고도화(정보화).hwp,2023,과학기술정보통신부>통신>방송통신>통신정책지원>네트워크기반조성>지역통신망고도화(정보화),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564001312433313.hwp,True,169984,ok,9,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,11
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1100:1139:303,과학기술정보통신부_ICT 창의기업 육성.hwp,2023,과학기술정보통신부>문화및관광>문화예술>콘텐츠방송산업육성>방송통신중소기업육성기반조성>ICT 창의기업 육성,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611139303.hwp,True,185856,ok,16,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,47
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:7200:7276:202,과학기술정보통신부_인건비.hwp,2023,과학기술정보통신부>문화및관광>문화예술>방송통신발전기금운영비>기금운영비>인건비,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000617276202.hwp,True,159744,ok,7,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,10
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1600:1632:314,과학기술정보통신부_전파기반중소기업전자파대책기술지원.hwp,2023,과학기술정보통신부>문화및관광>문화예술>정보통신방송기반조성>전파방송산업 활성화>전파기반중소기업전자파대책기술지원,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611632314.hwp,True,1851904,ok,22,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,38
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:7200:7276:200,과학기술정보통신부_기금관리비.hwp,2023,과학기술정보통신부>문화및관광>문화예술>방송통신발전기금운영비>기금운영비>기금관리비,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000617276200.hwp,True,166400,ok,7,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,12
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1400:1434:424,과학기술정보통신부_중수로 안전관리 기술개발 사업(R&D).hwp,2023,과학기술정보통신부>과학기술>과학기술연구개발>원자력 진흥>원자력연구개발사업>중수로 안전관리 기술개발 사업(R&D),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162546011551434424.hwp,True,863232,ok,13,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,29
